Country,Place,Start date,End date,Level,Confirmed,update,url
United States,Alabama,2020-03-18,2020-04-30,State,False,2020-04-17,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf
United States,"Kansas City,KS",,,,,2021-04-17,
United States,Arkansas,,,,,2021-04-17,
United States,Alaska,2020-03-28,,State,False,2020-04-14,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html
United States,Arizona,2020-03-31,2020-04-30,State,False,2020-04-17,https://azgovernor.gov/sites/default/files/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0.pdf
United States,California,2020-03-19,2020-05-15,State,False,2020-04-17,https://californiaglobe.com/section-2/los-angeles-county-extends-stay-at-home-orders-until-may-15th/
United States,Colorado,2020-03-26,2020-04-26,State,False,2020-04-17,https://www.dailymail.co.uk/news/article-8225777/Washington-DC-extends-lockdown-three-weeks-16.html
United States,Connecticut,2020-03-23,2020-05-15,State,False,2020-04-17,https://en.as.com/en/2020/04/16/other_sports/1587070119_052437.html
United States,Delaware,2020-03-24,2020-05-15,State,False,2020-04-04,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html
United States,District of Columbia,,,,,2021-04-17,
United States,Florida,2020-04-03,2020-04-30,State,False,2020-04-04,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html
United States,Hawaii,2020-03-25,2020-04-30,State,False,2020-04-04,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html
United States,Idaho,2020-03-25,2020-05-26,State,False,2020-04-17,https://en.as.com/en/2020/04/16/other_sports/1587070119_052437.html
United States,Illinois,2020-03-21,2020-04-30,State,False,2020-04-07,https://web.archive.org/web/20200402034923/https://www.nbcchicago.com/news/local/illinois-stay-at-home-order-expected-to-be-extended-sources/2247274/
United States,Indiana,2020-03-24,,State,False,2020-04-06,https://www.wibc.com/news/coronavirus/holcomb-to-extend-statewide-lockdown-through-april-20/
United States,Kansas,2020-03-30,2020-05-26,State,False,2020-04-17,https://en.as.com/en/2020/04/16/other_sports/1587070119_052437.html
United States,Louisiana,2020-03-23,2020-05-26,State,False,2020-04-17,https://en.as.com/en/2020/04/16/other_sports/1587070119_052437.html
United States,Maine,2020-04-02,2020-04-30,State,False,2020-04-04,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html
United States,Maryland,2020-03-30,,State,False,2020-04-04,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html
United States,Massachusetts,2020-03-24,2020-05-15,State,False,2020-04-17,https://en.as.com/en/2020/04/16/other_sports/1587070119_052437.html
United States,Michigan,2020-03-24,2020-04-30,State,False,2020-04-17,https://www.dailymail.co.uk/news/article-8225777/Washington-DC-extends-lockdown-three-weeks-16.html
