Country,Place,Start date,End date,Level,url,update,Confirmed
Albania,,2020-03-10,2020-04-19,National,http://www.xinhuanet.com/english/2020-04/19/c_138988714.htm,2020-09-01,True
Algeria,,2020-03-23,2020-04-26,National,https://africa.cgtn.com/2020/04/26/algeria-decides-to-reopen-more-businesses-to-ease-lockdown-impact/,2020-09-01,True
Algeria,,2020-03-22,2020-06-07,National,https://allafrica.com/stories/202006060117.html,2020-06-11,True
Argentina,,2020-03-19,2020-06-07,National,https://www.france24.com/en/20200524-covid-19-argentina-extends-mandatory-lockdown-until-june-7,2020-05-27,True
Armenia,,2020-03-24,2020-05-04,National,https://eurasianet.org/armenia-ends-lockdown-even-as-covid-cases-spiking,2020-06-11,True
Australia,,2020-03-23,2020-05-15,National,https://uk.reuters.com/article/uk-health-coronavirus-australia/australians-emerge-from-coronavirus-lockdown-to-beers-and-lattes-idUKKBN22R031,2020-05-19,True
Austria,,2020-03-16,2020-04-14,National,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html,2020-04-14,True
Azerbaijan,,2020-03-31,2020-05-04,National,https://az.usembassy.gov/covid-19-information-for-azerbaijan/,2020-05-10,True
Bangladesh,,2020-03-26,2020-04-29,National,https://www.theguardian.com/global-development/2020/may/11/bangladesh-garment-factories-reopen-despite-coronavirus-threat-to-workers,2020-09-01,True
Barbados,,2020-03-28,2020-05-04,National,https://gisbarbados.gov.bb/blog/barbados-lockdown-exit-strategy-phase-3/,2020-05-03,True
Belarus,Minsk,2020-04-07,,City,https://www.washingtonpost.com/politics/2020/04/21/belarus-government-is-largely-ignoring-pandemic-heres-why/,2020-04-21,False
Belgium,,2020-03-18,2020-05-11,National,https://www.bbc.com/news/world-europe-52421723,2020-05-10,True
Bermuda,,2020-04-04,2020-05-02,National,https://buzz-caribbean.com/news/bermuda-announces-phased-withdrawal-from-covid-lockdown-schools-airport-remain-closed/,2020-05-03,True
Bolivia,,2020-03-22,2020-05-31,National,https://www.la-razon.com/nacional/2020/04/29/lunes-11-cuarentena-estricta-y-flexible-en-departamentos-y-municipios/,2020-05-19,True
Botswana,,2020-04-02,2020-05-07,National,https://www.dispatchlive.co.za/news/africa/2020-04-29-botswana-extends-virus-lockdown/,2020-05-03,True
Brazil,,2020-03-17,2020-06-10,National,https://www.voanews.com/covid-19-pandemic/brazil-begins-reopening-after-2-month-coronavirus-shutdown,2020-09-01,True
Bulgaria,,2020-03-13,2020-05-13,National,https://www.thejakartapost.com/news/2020/05/13/bulgaria-to-end-state-of-emergency-but-some-restrictions-remain.html,2020-05-19,True
